"","element","fixture","opponent_team","total_points","was_home","kickoff_time","team_h_score","team_a_score","round","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","value","transfers_balance","selected","transfers_in","transfers_out","playername"
"588",114,7,3,0,FALSE,"2020-09-14T19:15:00Z",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",80,0,139604,0,0,"Hakim Ziyech"
"589",114,11,11,0,TRUE,"2020-09-20T15:30:00Z",0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",80,-47694,96757,3531,51225,"Hakim Ziyech"
"590",114,27,18,0,FALSE,"2020-09-26T16:30:00Z",3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",79,-24444,76002,6263,30707,"Hakim Ziyech"
"591",114,31,6,0,TRUE,"2020-10-03T11:30:00Z",4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",79,-11936,65758,2610,14546,"Hakim Ziyech"
"592",114,39,16,1,TRUE,"2020-10-17T14:00:00Z",3,3,5,18,0,0,0,1,0,0,0,0,0,0,0,4,"2.8","15.4","0.0","1.8",79,17927,89625,32892,14965,"Hakim Ziyech"
"593",116,7,3,2,FALSE,"2020-09-14T19:15:00Z",1,3,1,90,0,0,0,1,0,0,0,0,0,0,0,14,"17.8","0.7","2.0","2.1",50,0,17362,0,0,"Andreas Christensen"
"594",116,11,11,-3,TRUE,"2020-09-20T15:30:00Z",0,2,2,45,0,0,0,2,0,0,0,0,1,0,0,1,"14.6","0.3","0.0","1.5",50,-285,24305,2136,2421,"Andreas Christensen"
"595",116,27,18,0,FALSE,"2020-09-26T16:30:00Z",3,3,3,90,0,0,0,3,0,0,0,1,0,0,0,11,"17.2","2.8","0.0","2.0",50,-3888,22483,1870,5758,"Andreas Christensen"
"596",116,31,6,0,TRUE,"2020-10-03T11:30:00Z",4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",49,-1519,22240,1492,3011,"Andreas Christensen"
"597",116,39,16,1,TRUE,"2020-10-17T14:00:00Z",3,3,5,90,0,0,0,3,0,0,0,0,0,0,0,15,"20.4","0.3","18.0","3.9",49,-2219,20756,768,2987,"Andreas Christensen"
"598",117,7,3,5,FALSE,"2020-09-14T19:15:00Z",1,3,1,90,0,1,0,1,0,0,0,0,0,0,0,10,"4.8","11.7","79.0","9.6",95,0,2838333,0,0,"Timo Werner"
"599",117,11,11,2,TRUE,"2020-09-20T15:30:00Z",0,2,2,90,0,0,0,2,0,0,0,0,0,0,0,10,"12.0","12.4","11.0","3.5",95,-471452,2546205,80020,551472,"Timo Werner"
"600",117,27,18,2,FALSE,"2020-09-26T16:30:00Z",3,3,3,90,0,0,0,3,0,0,0,0,0,0,0,5,"8.4","11.3","58.0","7.8",95,-174552,2485820,254577,429129,"Timo Werner"
"601",117,31,6,2,TRUE,"2020-10-03T11:30:00Z",4,0,4,90,0,0,1,0,0,0,0,0,0,0,0,11,"9.6","6.2","19.0","3.5",94,-679035,1810085,49742,728777,"Timo Werner"
